"age","std"
0,-3.8933
1,-5.7776
2,-6.8474
3,-7.3298
4,-7.4519
5,-7.4408
6,-7.4807
7,-7.5845
8,-7.7219
9,-7.8628
10,-7.9771
11,-8.041
12,-8.0568
13,-8.0329
14,-7.9779
15,-7.9004
16,-7.8088
17,-7.7101
18,-7.6113
19,-7.5195
20,-7.4415
21,-7.3823
22,-7.3393
23,-7.308
24,-7.2837
25,-7.2619
26,-7.238
27,-7.2082
28,-7.1711
29,-7.1264
30,-7.0735
31,-7.0118
32,-6.9414
33,-6.8648
34,-6.7849
35,-6.7047
36,-6.6272
37,-6.5544
38,-6.4845
39,-6.4147
40,-6.3423
41,-6.2644
42,-6.1791
43,-6.0872
44,-5.9904
45,-5.8903
46,-5.7887
47,-5.6869
48,-5.586
49,-5.4866
50,-5.3895
51,-5.2953
52,-5.205
53,-5.1186
54,-5.0347
55,-4.9513
56,-4.8664
57,-4.778
58,-4.6847
59,-4.5877
60,-4.4887
61,-4.3895
62,-4.2918
63,-4.1969
64,-4.1041
65,-4.0122
66,-3.9199
67,-3.8261
68,-3.7297
69,-3.6303
70,-3.5279
71,-3.4221
72,-3.3129
73,-3.2004
74,-3.0861
75,-2.9716
76,-2.8589
77,-2.7497
78,-2.6457
79,-2.5482
80,-2.4556
81,-2.3659
82,-2.2771
83,-2.187
84,-2.0942
85,-1.9991
86,-1.9027
87,-1.8062
88,-1.7105
89,-1.6164
90,-1.5242
91,-1.434
92,-1.3458
93,-1.2596
94,-1.1758
95,-1.0958
96,-1.0212
97,-0.9535
98,-0.8944
99,-0.8455
